dataset,measure,stat.o,p.value
EWAS58,dip,4.640378463,0.195
EWAS58,direction,12.87349246,0.001
EWAS58,mad,4.147966183,0.273
EWAS58,mean,15.21746147,0.001
EWAS58,precision,4.699025009,0.177
EWAS58,probe.type,12.70622275,0.001
EWAS58,refgene.pos,7.312592629,0.008
EWAS58,sd.b,3.841753387,0.324
EWAS58,sd.m,5.350556906,0.111
EWAS59,chr,4.438729432,0.086
EWAS59,cpg.loc,1.159983809,0.79
EWAS59,dhs,0.322469687,0.995
EWAS59,dip,3.32755333,0.51
EWAS59,direction,4.761633828,0.039
EWAS59,mad,29.11950056,0.001
EWAS59,mean,26.70785032,0.001
EWAS59,precision,14.68137375,0.002
EWAS59,probe.type,1.511709116,0.588
EWAS59,refgene.pos,4.257336884,0.09
EWAS59,sd.b,27.89045825,0.001
EWAS59,sd.m,3.45535204,0.466
EWAS60,chr,0.862939986,0.886
EWAS60,cpg.loc,15.34061742,0.001
EWAS60,dhs,1.665671438,0.485
EWAS60,dip,7.732515047,0.019
EWAS60,direction,22.6108162,0.001
EWAS60,mad,104.2645358,0.001
EWAS60,mean,139.3429554,0.001
EWAS60,precision,30.05335083,0.001
EWAS60,probe.type,27.52073542,0.001
EWAS60,refgene.pos,11.70522205,0.002
EWAS60,sd.b,100.172214,0.001
EWAS60,sd.m,30.26466407,0.001
EWAS61,chr,6.464339143,0.024
EWAS61,cpg.loc,11.17305667,0.002
EWAS61,dhs,0.932108168,0.806
EWAS61,dip,8.655329883,0.009
EWAS61,direction,13.20498828,0.001
EWAS61,mad,44.59141978,0.001
EWAS61,mean,22.86305062,0.001
EWAS61,precision,59.24185483,0.001
EWAS61,probe.type,4.227780564,0.06
EWAS61,refgene.pos,12.44423995,0.002
EWAS61,sd.b,48.02794278,0.001
EWAS61,sd.m,65.853901,0.001
