dataset,measure,stat.o,p.value
EWAS12,dip,3.67615893,0.416
EWAS12,direction,7.727492223,0.003
EWAS12,mad,4.744581277,0.183
EWAS12,mean,10.44093069,0.001
EWAS12,precision,4.495415987,0.202
EWAS12,probe.type,1.847785066,0.5
EWAS12,refgene.pos,2.70861075,0.311
EWAS12,sd.b,6.321985545,0.051
EWAS12,sd.m,6.05455281,0.065
EWAS13,chr,5.509469691,0.045
EWAS13,cpg.loc,1.509034765,0.699
EWAS13,dhs,0.692952998,0.907
EWAS13,dip,2.820927777,0.689
EWAS13,direction,2.782896771,0.21
EWAS13,mad,12.70948171,0.002
EWAS13,mean,8.816869563,0.002
EWAS13,precision,18.69745149,0.001
EWAS13,probe.type,1.951165623,0.401
EWAS13,refgene.pos,4.305421133,0.079
EWAS13,sd.b,17.11174904,0.001
EWAS13,sd.m,14.3977432,0.001
EWAS14,chr,0.624433321,0.961
EWAS14,cpg.loc,63.44048488,0.001
EWAS14,dhs,18.71088919,0.001
EWAS14,dip,23.19795307,0.001
EWAS14,direction,25.62344824,0.001
EWAS14,mad,510.8442775,0.001
EWAS14,mean,745.5614888,0.001
EWAS14,precision,178.5387022,0.001
EWAS14,probe.type,31.83813762,0.001
EWAS14,refgene.pos,12.48585427,0.002
EWAS14,sd.b,480.3764233,0.001
EWAS14,sd.m,135.6460631,0.001
EWAS15,chr,2.103744155,0.474
EWAS15,cpg.loc,0.998525871,0.855
EWAS15,dhs,1.370212819,0.593
EWAS15,dip,6.691570953,0.024
EWAS15,direction,1.480655815,0.586
EWAS15,mad,5.38443889,0.124
EWAS15,mean,4.594081743,0.207
EWAS15,precision,1.621507244,0.959
EWAS15,probe.type,0.313112379,0.998
EWAS15,refgene.pos,0.903646249,0.912
EWAS15,sd.b,4.059288761,0.312
EWAS15,sd.m,4.118207613,0.274
EWAS16,chr,3.088361119,0.236
EWAS16,cpg.loc,3.88250487,0.119
EWAS16,dhs,4.274542397,0.065
EWAS16,dip,3.912054901,0.345
EWAS16,direction,1.300295365,0.775
EWAS16,mad,37.11779802,0.001
EWAS16,mean,55.99386234,0.001
EWAS16,precision,16.55272529,0.001
EWAS16,probe.type,3.345000962,0.128
EWAS16,refgene.pos,4.975005746,0.045
EWAS16,sd.b,32.2530939,0.001
EWAS16,sd.m,1.589233542,0.977
EWAS17,chr,1.886048712,0.566
EWAS17,cpg.loc,9.622430323,0.004
EWAS17,dhs,0.320487636,0.996
EWAS17,dip,3.926457233,0.335
EWAS17,direction,29.65271089,0.001
EWAS17,mad,4.347387148,0.247
EWAS17,mean,48.09095663,0.001
EWAS17,precision,2.240948669,0.866
EWAS17,probe.type,2.1330852,0.359
EWAS17,refgene.pos,7.511918524,0.012
EWAS17,sd.b,4.397856257,0.234
EWAS17,sd.m,7.133105614,0.036
EWAS18,chr,3.136022122,0.238
EWAS18,cpg.loc,2.741747004,0.302
EWAS18,dhs,1.800587888,0.457
EWAS18,dip,2.105521561,0.861
EWAS18,direction,5.047095147,0.03
EWAS18,mad,17.50770418,0.001
EWAS18,mean,17.03541458,0.001
EWAS18,precision,35.71488752,0.001
EWAS18,probe.type,8.08465875,0.001
EWAS18,refgene.pos,4.107120523,0.092
EWAS18,sd.b,29.34331459,0.001
EWAS18,sd.m,23.36358947,0.001
EWAS19,chr,1.333000219,0.733
